Structure [idcode]	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	Smiles	
fcpP@IJlAA^yEMDeeDhmEEDhl^BMYjy{Z@BiZ@HH@H@@@	Deferasirox		4.51	non-CNS	373.367	2.7844	-5.439	-0.06758	7	3	276.06	0.39141	0.87243	28	350 <= x < 375	OC(c(cc1)ccc1-n1nc(-c(cccc2)c2O)nc1-c(cccc1)c1O)=O	
deVD@N@dfY{[fiZh@@	Deferiprone			non-CNS	139.153	-0.0767	-1.05	-0.076717	3	1	108.34	0.02391	0.69315	10	125 <= x < 150	CC(N(C)C=CC1=O)=C1O	
enVVA@@DM@akfPBEBecg`\bbbrRbrRRRbrRbffeRRZjjZjjfjjYjjh@@	Deferoxamine	10.23	7.92	non-CNS	560.690	-0.3149	-2.232	-3.1408	14	6	457.34	0.72439	0.64751	39	550 <= x < 575	CC(N(CCCCCNC(CCC(N(CCCCCNC(CCC(N(CCCCCN)O)=O)=O)O)=O)=O)O)=O	
eh\TJ@@JG@DKMclbbTRVbTttRTRrTrJJFfV~AZjjjXJBhi`@@@@	Delapril		3.84	non-CNS	452.549	1.2442	-3.575	-2.3406	7	2	355.46	0.58955	0.78295	33	450 <= x < 475	CCOC(C(CCc1ccccc1)NC(C)C(N(CC(O)=O)C(C1)Cc2c1cccc2)=O)=O	
e`\VLH@LC@jnehDO@@cIIChdieeMDeeDhdYHhYXUUl\mP@TsUU@PUE@@@	Delavirdine	6.82		non-CNS	456.569	1.8437	-4.777	1.7433	9	3	336.62	0.48589	0.86725	32	450 <= x < 475	CC(C)Nc1cccnc1N(CC1)CCN1C(c1cc(cc(cc2)NS(C)(=O)=O)c2[nH]1)=O	
fbmQA@NNbBHsDILrsmlnleYpTpPLPTBQ@@@	Delorazepam			CNS	305.163	3.2323	-5.432	3.2323	3	1	216.3	0.25582	0.84245	20	300 <= x < 325	O=C1Nc(ccc(Cl)c2)c2C(c(cccc2)c2Cl)=NC1	
e`\TAH@FoiMKHbacg`HcHhheEMEmeEhihhmXpHhXDeuM@QEMSUUSUSEH@@	Demeclocycline	5.79	6.9	non-CNS	464.857	-1.1184	-2.151	-8.5236	10	6	296.53	0.31941	1.0706	32	450 <= x < 475	CN(C)C(C(CC(C(c(c(C1=O)c(cc2)O)c2Cl)O)C1=C1O)C11O)C(O)=C(C(N)=O)C1=O	
fnc`P@C@iynRJZIIEIJZIK\dVmAAEUT@DDGP@	Denopamine	9.84	9.22	non-CNS	317.384	1.7385	-2.231	-0.70383	5	3	255.48	0.50909	0.68393	23	300 <= x < 325	COc(ccc(CCNC[C@H](c(cc1)ccc1O)O)c1)c1OC	
ee_TA@@MdPDMG@failbbTTRTRbRbRVbVJQRfRRRgefVstNIMHlkTEAUEUUMUUTt@EP@@@	Deserpidine	7.14		non-CNS	578.660	3.6454	-4.428	3.2503	10	1	427.59	0.31052	0.99366	42	575 <= x < 600	COC(C(CC1C2CC(c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC(c(cc1OC)cc(OC)c1OC)=O)C2C(OC)=O	
fnkA@@@IMKSksoZlejtTu[U]UUSUMUP@@	Desogestrel			non-CNS	310.479	4.4895	-4.998	4.4895	1	1	244.04	0.28669	0.90526	23	300 <= x < 325	CCC(C1)(C(CC2)C(CCC3=CCCCC33)C3C1=C)C2(C#C)O	
fle``@K@TdrnsSkMF^S@AUUUTTNT@@	Desvenlafaxine	8.91		CNS	263.380	2.3151	-2.19	0.82952	3	2	212.75	0.50995	0.72942	19	250 <= x < 275	CN(C)CC(C1(CCCCC1)O)c(cc1)ccc1O	
fhi``@I@PdrwLjn[s`mUAPTQ@@@	Dexmethylphenidate	9.09		CNS	233.310	2.0902	-2.609	0.39257	3	1	191.27	0.53867	0.70898	17	225 <= x < 250	COC(C(C1NCCCC1)c1ccccc1)=O	
fleHP@DTuDC@irJIJHqZIJJgOQZijjjYj@j@@	Dexrazoxane			non-CNS	268.272	-2.6903	0.602	-2.6904	8	2	194.58	0.5052	0.67279	19	250 <= x < 275	CC(CN(CC(N1)=O)CC1=O)N(CC(N1)=O)CC1=O	
fb}a@@H`rQSISJQIIHlxjwhaSP@UUUUEVAITm@@	Dextromethorphan	9.85		CNS	271.402	3.1764	-3.516	0.72854	2	0	209.31	0.24434	0.91784	20	250 <= x < 275	CN(CC1)[C@@H](C2)[C@@H](CCCC3)[C@@]13c1c2ccc(OC)c1	
ek`TD@@DJ`ClbbbdRTTTJRVvaRdTRZJzvNZjj`B`BBjhJ@R`@	Dextromoramide	7.77		CNS	392.541	3.227	-2.3	2.7043	4	0	313.38	0.49965	0.77933	29	375 <= x < 400	CC(CN1CCOCC1)C(C(N1CCCC1)=O)(c1ccccc1)c1ccccc1	
fik``@@`QdTRTfbbRVbtRol}FuUPUA@T@@@@	Dextropropoxyphene	9.52		CNS	339.477	4.2826	-3.353	2.1622	3	0	284.3	0.58883	0.75761	25	325 <= x < 350	CCC(OC(Cc1ccccc1)(C(C)CN(C)C)c1ccccc1)=O	
fmaP@N`QrH|bbtTRTrTTRRqbeiQoYRVoVhHHjjjjZJX@@	Diamorphine	9.1		CNS	369.416	2.0737	-3.553	0.36585	6	0	260.03	0.22006	1.0241	27	350 <= x < 375	CC(OC1C=CC(C(C2)N(C)CC3)C33c4c2ccc(OC(C)=O)c4OC13)=O	
flyPQ@BLMzJPUdjsHhhheEieCNJ`bJIif@@@	Diatrizoate		2.96	non-CNS	488.010	1.4263	-4.345	-3.0179	6	3	232.86	0.42246	0.78589	19	475 <= x < 500	CC(Nc(c(I)c1NC(C)=O)cc(C(O)=O)c1I)=O	
fbePS@BLlENPUdjpuYdTTTRbRfTlxjBHhiif@@@	Diatrizoic acid		2.17	non-CNS	613.902	1.8634	-5.361	-3.3689	6	3	259.14	0.48617	0.8153	20	600 <= x < 625	CC(Nc(c(I)c(c(I)c1C(O)=O)NC(C)=O)c1I)=O	
fikp`@DZLCvQQJIQIQISYKEJLyKTDA@UEUP@@@	Dibucaine	9.04		non-CNS	343.469	3.5233	-3.733	1.8692	5	1	289.23	0.56973	0.79383	25	325 <= x < 350	CCCCOc1nc2ccccc2c(C(NCCN(CC)CC)=O)c1	
f`aPP`M^djs`QAHa`PXHrJJJYRZr\EADBtl@@@	Dichlorphenamide			non-CNS	305.162	0.3996	-2.886	0.29	6	2	178.3	0.47467	0.75329	16	300 <= x < 325	NS(c(cc1S(N)(=O)=O)cc(Cl)c1Cl)(=O)=O	
fle`a@BQRBHEDYEEDeMCDdXrSoPPT@PS@@@	Diclofenac		4	CNS	296.152	3.8852	-4.644	0.48068	3	2	213.18	0.5103	0.73114	19	275 <= x < 300	OC(Cc(cccc1)c1Nc(c(Cl)ccc1)c1Cl)=O	
egh\JL@I@jmOBck`HcbHZBLbbbTTjfTJbbrRbc@fafUWPtADMMMTuUSEP@@	Dicloxacillin		3.75	non-CNS	470.332	3.3098	-4.787	-0.34171	8	2	308.85	0.41397	0.95969	30	450 <= x < 475	CC(C)(C1C(O)=O)SC(C2NC(c3c(C)onc3-c(c(Cl)ccc3)c3Cl)=O)N1C2=O	
fig@p@@HdFJ\bbTTRRtVbarRipwlezMjXJBQj`B@@@	Dicumarol		4.85	non-CNS	336.298	2.588	-3.34	-10.036	6	2	233.82	0.37713	0.89477	25	325 <= x < 350	OC(c(cccc1)c1O1)=C(CC(C(Oc2c3cccc2)=O)=C3O)C1=O	
ff}``@K@QdTRdRbRRVbJLGvVjjjjjjj@@	Dicyclomine	8.96		non-CNS	309.492	3.6609	-3.439	2.0871	3	0	264.62	0.60853	0.64123	22	300 <= x < 325	CCN(CC)CCOC(C1(CCCCC1)C1CCCCC1)=O	
fhyI`@DTyHF`yEDhdbhdls`iV\uRmUUU@@@	Didanosine			non-CNS	236.230	-0.5618	-2.422	-0.5743	7	2	170.82	0.34347	0.81997	17	225 <= x < 250	OCC(CC1)OC1n1c(N=CNC2=O)c2nc1	
fbu@`@@YRYWYeg_hrJX@JY``H@HEJP	Dienestrol			non-CNS	266.339	4.2726	-2.93	4.264	2	2	219.66	0.5472	0.73114	20	250 <= x < 275	C/C=C(\C(\c(cc1)ccc1O)=C/C)/c(cc1)ccc1O	
fnk``@F`sdTRTrTrTtReUFRUYpTmMSUUUU]T@@	Dienogest			non-CNS	311.424	3.2291	-4.111	3.2291	3	1	234.86	0.26908	0.91503	23	300 <= x < 325	CC(CC1)(C(CC2)C(CC3)C1=C(CC1)C3=CC1=O)C2(CC#N)O	
fbu@`@@YRYWYeg_hrJX@Ij``H@Py@	Diethylstilbestrol			non-CNS	268.355	4.5248	-3.158	4.5168	2	2	220.68	0.47289	0.73114	20	250 <= x < 275	CC/C(/c(cc1)ccc1O)=C(/CC)\c(cc1)ccc1O	
e`\TD@@KJ`DDfzYU_uiYmUuKCGMgkofj`hHjjp@@B@@@@	Difenoxin	9.41	3.38	non-CNS	424.542	2.997	-4.383	-1.0194	4	1	338.77	0.53808	0.75832	32	400 <= x < 425	N#CC(CCN(CC1)CCC1(C(O)=O)c1ccccc1)(c1ccccc1)c1ccccc1	
ef{pK@@@DKOMklRVS[_Z|bbVTTbTTlJTfVrTRTRJbRbQTRTQEDa`TQUTrpLLjj^[TuUUUUUUUUUUUUUUUUUT@@@	Digoxin		7.15	non-CNS	764.946	2.7475	-6.086	2.3044	13	5	533.62	0.43965	1.0143	54	750 <= x < 775	CC(CC(C1)O)OC1OC(C(C)OC(C1)OC(C(C)OC(C2)OC(CC3)CC(CC4)C3(C)C(CC(C3(C)C(CC5)C(CO6)=CC6=O)O)C4C35O)C2O)C1O	
ffka`@B`x[IEEEDhhdeErRdoVRFNRtEPUTUUQT@@	Dihydrocodeine	9.33		CNS	301.385	1.8078	-3.089	-0.12835	4	1	209.64	0.22274	1.0055	22	300 <= x < 325	CN(CC1)C(C2)C(CC3)C11c4c2ccc(OC)c4OC1C3O	
emTzJ@@DFLkiPKGOIlbbbbbRTLTlRVtLRTRtRRTXDdTlBZF^~qiyUEeZjjji`hHZjj``XjJH@@	Dihydroergotamine	8.39		CNS	583.687	3.3492	-3.851	2.3125	10	3	405.81	0.2985	1.0693	43	575 <= x < 600	CC(C(N1C(Cc2ccccc2)C(N2C3CCC2)=O)=O)(NC(C(C2)CN(C)C(Cc4c[nH]5)C2c2c4c5ccc2)=O)OC13O	
fkA@@@YEDeLehheHmXlhiSghasUSTuUUUMUU@qQeM`	Dihydrotachysterol			non-CNS	398.672	7.6685	-6.024	7.6685	1	1	336.82	0.38198	0.81905	29	375 <= x < 400	CC(C)C(C)/C=C/C(C)C(CC1)C(C)(CCC2)C1/C2=C/C=C(\C1)/C(C)CCC1O	
gGQDJ@`aBSKUTe@@	Dimercaprol			non-CNS	124.228	0.3225	-1.987	0.31963	1	1	91.59	0.76843	0.69315	6	100 <= x < 125	OCC(CS)S	
em_PO@@@NIOLjnigo`TZYU\bbbTTVLRRTtrTRfrJbTTrXxTLbJVNYyZAbHBBbjjjjjjj`h@@	Diosmin		7.31	non-CNS	608.547	-0.634	-2.967	-0.66904	15	8	409.06	0.47709	0.95004	43	600 <= x < 625	CC(C(C(C1O)O)O)OC1OCC(C(C(C1O)O)O)OC1Oc(cc1O)cc(OC(c(cc2)cc(O)c2OC)=C2)c1C2=O	
fj}`@D@@gIIDceEEDdef\CeIZjih@@@`@@	Diphemanil methylsulfate			non-CNS	278.418	0.1926	-3.097	0.1926	1	0	227.88	0.38356	0.71194	21	275 <= x < 300	C[N+](C)(CC1)CCC1=C(c1ccccc1)c1ccccc1	
fj}a@@K@RfYVYuUqV}fIZjj@H@``@@	Diphenylpyraline	8.87		CNS	281.398	3.7071	-3.075	2.2216	2	0	232.12	0.40634	0.57758	21	275 <= x < 300	CN(CC1)CCC1OC(c1ccccc1)c1ccccc1	
fega@@H`rJJQJJKIIQ[RiNrDhymUPA@EAUPTCD@@	Dipipanone	9.3		CNS	349.516	4.6529	-3.808	2.7507	2	0	291.32	0.52087	0.75761	26	325 <= x < 350	CCC(C(CC(C)N1CCCCC1)(c1ccccc1)c1ccccc1)=O	
fisaP@N`PhJ\bbTbebRRffduLyjjBBIjjhax`@	Dipivefrin	9.33		non-CNS	351.441	2.8264	-2.87	0.89335	6	2	279.47	0.4093	0.77181	25	350 <= x < 375	CC(C)(C)C(Oc(ccc(C(CNC)O)c1)c1OC(C(C)(C)C)=O)=O	
eb^QB@@LFNCHdle`MD\TeYeUgee^]^]uRqIjjX{zj``hJBhjjjj`h@@	Dipyridamole			non-CNS	504.634	0.7916	-3.824	0.72946	12	4	390.18	0.45123	0.91968	36	500 <= x < 525	OCCN(CCO)c(nc12)nc(N3CCCCC3)c2nc(N(CCO)CCO)nc1N1CCCCC1	
e`PTAH@JIAELfnamc`@cIEeDhibeDeLeEeEldUUULuPAEMSUDAE@@	Docarpamine			non-CNS	470.541	2.7418	-4.506	2.7418	10	2	368.77	0.55664	0.77499	32	450 <= x < 475	CCOC(Oc(ccc(CCNC(C(CCSC)NC(C)=O)=O)c1)c1OC(OCC)=O)=O	
fnmA@@@IJjjjjjjuUUUUUUP@@	Docosanol			non-CNS	326.606	9.1385	-5.877	9.1385	1	1	321.07	0.6052	0.39608	23	325 <= x < 350	CCCCCCCCCCCCCCCCCCCCCCO	
fagQ`@FE@YrSLkkk\rnscAJtdk^mUUUSRDAU@@@	Dolasetron	5.68		CNS	324.379	2.2352	-3.509	2.1198	5	1	231.53	0.28448	0.86187	24	300 <= x < 325	O=C(c1c[nH]c2c1cccc2)OC1CC(CC(C2)C(C3)=O)N3C2C1	
fca`@B`M{HhhhedeDdebeDdQdmIJo[PTDUUUT@DQCE@@	Donepezil	9.12		CNS	379.498	4.2149	-4.347	2.965	4	0	299.91	0.4285	0.83685	28	375 <= x < 400	COc(c(OC)c1)cc(CC2CC3CCN(Cc4ccccc4)CC3)c1C2=O	
flePS@KA`aw`AE@`pQddabbTNTboMRTmSUUKUH@@	Dorzolamide	6.88	8.16	non-CNS	324.445	0.2792	-2.357	0.088926	6	2	209.88	0.45574	0.89531	19	300 <= x < 325	CCNC(CC1C)c(cc(s2)S(N)(=O)=O)c2S1(=O)=O	
fj}`B@D`BDieeeuYdaF\F`h@PHjh@PT`	Dosulepin	9.76		CNS	295.449	3.8201	-4.465	1.4575	1	0	237.82	0.33444	0.83396	21	275 <= x < 300	CN(C)CC/C=C1\c(cccc2)c2SCc2c1cccc2	
fcP`@DMAoHhhiLhhlddmcDdPPRijo[UUPA@DEUTE@U@@	Doxapram	7.23		CNS	378.514	3.2136	-2.03	2.9886	4	0	299.62	0.43511	0.82089	28	375 <= x < 400	CCN(CC(CCN1CCOCC1)C1(c2ccccc2)c2ccccc2)C1=O	
ehZZJ@@DCDln`FMKgdfYeU{Ug^]UVPsRrHih[XyjjjhH@@`@jj@`pH@@	Doxazosin	7.24		non-CNS	451.481	2.1379	-4.1	1.9083	10	1	330.83	0.34639	0.88077	33	450 <= x < 475	COc(cc1c(N)nc(N(CC2)CCN2C(C2Oc(cccc3)c3OC2)=O)nc1c1)c1OC	
fj}a@@D`RfVVWW}fRDYpZB`A@bj`AAR@	Doxepin	9.76		CNS	279.382	3.4331	-3.377	1.0705	2	0	230.33	0.32182	0.83396	21	275 <= x < 300	CN(C)CC/C=C1\c(cccc2)c2OCc2c1cccc2	
eg`PD@@@ILbbbTrJbbTbubrbc@`RTQUTsTuUUUMUU@XLReu@	Doxercalciferol			non-CNS	412.655	6.7902	-5.528	6.7902	2	2	339.9	0.37467	0.83726	30	400 <= x < 425	CC(C)C(C)/C=C/C(C)C(CC1)C(C)(CCC2)C1/C2=C/C=C(\CC(CC1O)O)/C1=C	
fbuQ@@NZ@eMKMjkOYOluU@D@T@PaP@	Doxylamine	8.87		CNS	270.375	1.8821	-1.64	0.40109	3	0	226.79	0.52941	0.73284	20	250 <= x < 275	CC(c1ccccc1)(c1ncccc1)OCCN(C)C	
fns@`@@FrQQRJIFIHkKJdeVCF`jHhjZjb@@	Dronabinol			CNS	314.467	6.131	-4.807	6.1261	2	1	254.33	0.40038	0.90011	23	300 <= x < 325	CCCCCc1cc(OC(C)(C)C2C3C=C(C)CC2)c3c(O)c1	
enYTJH@LGhDG@e`@cIIChdihdimDddTdeDddiMCGNiej@HZf``bjjjjH@@@	Dronedarone	9.65		non-CNS	556.765	6.7266	-8.42	4.3378	7	1	449.56	0.64374	0.89531	39	550 <= x < 575	CCCCc1c(C(c(cc2)ccc2OCCCN(CCCC)CCCC)=O)c(cc(cc2)NS(C)(=O)=O)c2o1	
fcpb@CIZJhICHhdlideDeeEEBeQ`Xmzo\@DuUTuL@AP@@	Droperidol	6.75		CNS	379.434	3.4571	-5.293	3.369	5	1	287.2	0.45862	0.83396	28	375 <= x < 400	O=C(CCCN(CC1)CC=C1N(c(cccc1)c1N1)C1=O)c(cc1)ccc1F	
emhPL@@@FelbbRfbbeRfbbeRhXTtTL|BRJJjFfZZjjjjjjfjj@@@	Drospirenone			non-CNS	366.499	3.4384	-4.938	3.4384	3	0	242.54	0.21351	1.0122	27	350 <= x < 375	CC(CC1)(C(C2C3C2)C(C2C4C2)C1C(C)(CC1)C4=CC1=O)C3(CC1)OC1=O	
ffs@`@@UrJJIYQJEJZILyhw`iJuUUUUUUU@@@	Drostanolone			non-CNS	304.472	3.87	-4.485	3.87	2	1	226.28	0.30798	0.86986	22	300 <= x < 325	CC(CC(C)(C(CC1)C2)C(CC3)C1C(CC1)C3(C)C1O)C2=O	
fk`P@G@XvZTrsjk_rmjxeNCWmAPQTu@DUTP@@	Drotaverine	6.23		non-CNS	397.513	4.8284	-5.112	4.8001	5	0	327.85	0.39634	0.86289	29	375 <= x < 400	CCOc(ccc(CC(c1c2)=NCCc1cc(OCC)c2OCC)c1)c1OCC	
fj}aB@CL@DYHhmLeDhdhkbghyKSMTDA@DDBD@@	Duloxetine	9.7		CNS	297.421	3.8368	-4.399	1.5321	2	1	237.3	0.25412	0.72768	21	275 <= x < 300	CNCCC(c1cccs1)Oc1cccc2ccccc12	
ebQTDF@NHSLPIABPpdHiAJPrdLbdLTRVbtTbdUQfRfRtfaWTruwtJMTDDMUUUUUTteT@@@	Dutasteride			non-CNS	514.508	5.088	-6.532	5.088	4	2	343.33	0.40067	0.93236	36	500 <= x < 525	CC(CC1)(C(CC2)C(CCC3N4)C1C3C=CC4=O)C2C(Nc1c(C(F)(F)F)ccc(C(F)(F)F)c1)=O	
fnk@`@@UrJIJYQKISQHrgIZ]zNVfijjjjZj@@	Dydrogesterone			non-CNS	312.451	3.7436	-4.314	3.7436	2	0	236.37	0.29046	0.89258	23	300 <= x < 325	CC(CCC1C2(C)CC3)(C(CC4)C1C=CC2=CC3=O)C4C(C)=O	
e`RTD@@DH`GlbfdTTTRRRVuRbRfSfPQTRVqswsUPAPAPU@ATDTCE@@	Darifenacin	1.11		CNS	426.558	3.9043	-3.911	1.1954	4	1	331.58	0.47479	0.83887	32	425 <= x < 450	NC(C(C1CN(CCc(cc2)cc3c2OCC3)CC1)(c1ccccc1)c1ccccc1)=O	
dedHXFBPRPrPjPFPfPrJPsJUUUPU@@	Desflurane			CNS	168.036	1.1955	-2.345	1.1955	1	0	97.01	0.8256	0.67701	10	150 <= x < 175	FC(C(F)(F)F)OC(F)F	
fcAR@AU[OXICHiEHhhhblXdicBkvkNbdmUUULuUMSUT@@	Dexamethasone			CNS	392.465	1.2884	-3.25	1.2884	5	3	268.83	0.32617	0.97661	28	375 <= x < 400	CC(CC(C(CCC(C1(C)C=C2)=CC2=O)C11F)C2(C)CC1O)C2(C(CO)=O)O	
foAP@@@TRf^{elTMZVj@`h`P`@	Dexmedetomidine	7.7		CNS	200.284	2.8487	-2.795	2.792	2	1	170.63	0.26507	0.70389	15	200 <= x < 225	CC(c1c[nH]cn1)c1c(C)c(C)ccc1	
fdyAa@OAbBPUHYEEDhddYeFRMZB@B@i`@@	Diflunisal		2.69	CNS	250.200	2.6598	-4.047	-2.0497	3	2	176.17	0.41621	0.75474	18	250 <= x < 275	OC(c(cc(cc1)-c(ccc(F)c2)c2F)c1O)=O	
f`~P@`LZ@DHBBAB`cHheDdiXduUTuT@@	Disulfiram			CNS	296.547	3.343	-3.266	3.343	2	0	238.58	0.72152	0.45401	16	275 <= x < 300	CCN(CC)C(SSC(N(CC)CC)=S)=S	
do~J@BAFM|bfffbRavvjh@b@@	Droxidopa	8.72	1.46	CNS	213.188	-3.3107	-0.401	-9.2463	6	5	149.93	0.57641	0.64441	15	200 <= x < 225	NC(C(c(cc1)cc(O)c1O)O)C(O)=O	
ffsPA@IQADZbLbbbTTVTTJRKNF}EIZpDEUTB`EDJD@@	Eberconazole	6.36		non-CNS	329.229	4.9532	-6.782	4.8767	2	0	238.1	0.20067	0.90142	22	325 <= x < 350	Clc1cc(Cl)c(C(c2c(CC3)cccc2)n2cncc2)c3c1	
fegAR@HHpNX@cIIKEDeDcHdcIiIWdeZm@PUUUUSE@@@	Ecabet		3.89	non-CNS	380.503	2.2097	-3.44	-6.6683	5	2	268.95	0.37047	0.91714	26	375 <= x < 400	CC(C)c(cc(CCC1C2(C)CCCC1(C)C(O)=O)c2c1)c1S(O)(=O)=O	
do^LRIpj@HcpfTiiuUjfjjj`@	Echothiophate			non-CNS	256.326	-2.3845	0.334	-2.3845	4	0	196.98	0.87461	0.42796	15	250 <= x < 275	CCOP(OCC)(SCC[N+](C)(C)C)=O	
fakQC@CIDBHUD]bLbbbRbrrbbRQsNIsUlAAUUPJADPhP@	Econazole	6.48		non-CNS	381.689	4.2444	-4.345	4.1534	3	0	277.02	0.41012	0.76182	24	375 <= x < 400	Clc1ccc(COC(Cn2cncc2)c(ccc(Cl)c2)c2Cl)cc1	
fbyPH@BZ@bR`qSgHieDeDXdhhuUSUTs@@@	Edetic acid		3.08	non-CNS	292.243	-6.1434	1.67	-12.057	10	4	213.06	0.8573	0.56446	20	275 <= x < 300	OC(CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O)=O	
ejQ^BD@BNC@imdYMJe`H`XHrJIKISSJJIKQZJIZIEJaaHhzyGF@BfZjjfiZjjhf@@@	Edoxaban	6.33		non-CNS	548.066	0.0532	-2.802	-0.012125	11	3	397.72	0.38772	0.87805	37	525 <= x < 550	CN(C)C(C(CCC1NC(C(Nc(cc2)ncc2Cl)=O)=O)CC1NC(c1nc(CCN(C)C2)c2s1)=O)=O	
dcNHBFAiRYVzzz@Hj`@@	Edrophonium		8.59	non-CNS	166.243	-3.283	-1.547	-3.3099	2	1	136.03	0.51662	0.61059	12	150 <= x < 175	CC[N+](C)(C)c1cccc(O)c1	
fj}```ARbBH]H^d@rFQQISJQYRINTYHvRp@UU]STUCe@@	Efavirenz			non-CNS	315.677	3.6614	-7.173	3.6614	3	1	210.58	0.31179	0.87957	21	300 <= x < 325	O=C(Nc(cc1)c2cc1Cl)OC2(C(F)(F)F)C#CC1CC1	
elZPJ@@@FAK@\dTRbbtJJTTRdVlVRddtjzZfjjjifZjjjjjj`DKKr@	Eldecalcitol			non-CNS	490.722	5.4744	-4.938	5.4744	5	4	390.55	0.43255	0.86153	35	475 <= x < 500	CC(CCCC(C)(C)O)C(CC1)C(C)(CCC2)C1/C2=C/C=C(\CC(C(C1O)OCCCO)O)/C1=C	
fmoPb@Dm``@QddabRRtrTraTTTm^BgHukPPP@EMUTEPkP@	Eletriptan	9.62		CNS	382.526	3.4023	-4.315	2.3852	4	1	289.89	0.52757	0.82449	27	375 <= x < 400	CN1C(Cc2c[nH]c3c2cc(CCS(c2ccccc2)(=O)=O)cc3)CCC1	
ehRRB@@DBFE@Bo`\bbbfbRRttVbLtrTtHxl|ZFN^Zi`hH`hH@HY@@`h`	Eltrombopag		3.97	non-CNS	442.474	5.8426	-5.395	2.4294	8	3	331.96	0.25877	0.87115	33	425 <= x < 450	CC(/C(/C1=O)=N\Nc(cccc2-c3cc(C(O)=O)ccc3)c2O)=NN1c1cc(C)c(C)cc1	
ffcI@@JBedBTksMrj{bUyNRuUSAPTUQ@@@	Emedastine	8.66		non-CNS	302.420	2.0454	-1.562	0.74293	5	0	247.52	0.4403	0.80949	22	300 <= x < 325	CCOCCn1c(N2CCN(C)CCC2)nc2c1cccc2	
f`qqa@NZ}ab`ACiAJYwf]\TMZjjiej`@@	Emtricitabine			non-CNS	247.249	-0.747	-1.869	-0.747	6	2	163.46	0.40666	0.76856	16	225 <= x < 250	NC(C(F)=CN1C2OC(CO)SC2)=NC1=O	
fmgQP@BZ@bPXyEMEDiXmEEdeLepTumUTuUMU@A@@@	Enalapril		3.69	non-CNS	376.451	-0.0245	-2.477	-3.7533	7	2	295.7	0.6174	0.77499	27	375 <= x < 400	CCOC(C(CCc1ccccc1)NC(C)C(N(CCC1)C1C(O)=O)=O)=O	
dedHXFBHRPJPjPFPfPrJZPjUUUQE@@	Enflurane			non-CNS	184.491	1.4972	-2.488	1.4972	1	0	106.08	0.84672	0.67701	10	175 <= x < 200	FC(C(OC(F)F)(F)F)Cl	
fnsIb@BTteuV`dLbbbRbRRbbNtYrr_A`HJjfjibP@@	Enoxacin	8.59	5.31	non-CNS	320.323	-2.1183	-3.111	-4.0224	7	2	231.05	0.3166	0.89368	23	300 <= x < 325	CCN(C=C(C(O)=O)C(c1c2)=O)c1nc(N1CCNCC1)c2F	
fhiPb@MNdD@PeMkmrrsegT@DtuI@@@	Enoximone			non-CNS	248.305	1.5599	-4.128	1.5576	4	2	183.11	0.50158	0.73945	17	225 <= x < 250	CC(N1)=C(C(c(cc2)ccc2SC)=O)NC1=O	
dg|d@DscATfYYUVGSZjfVj@@	Enprofylline		7.83	non-CNS	194.193	0.2966	-2.413	0.16011	6	2	145.13	0.29921	0.79161	14	175 <= x < 200	CCCN(c1c(C(N2)=O)[nH]cn1)C2=O	
fbmi`@DTxIPDyrJIQQJjJKILyIW`mTluSUUP@@	Entecavir			non-CNS	277.283	-0.9301	-1.188	-0.93084	8	4	195.39	0.20438	0.86015	20	275 <= x < 300	C=C(C(CO)C(C1)O)C1n1c(N=C(N)NC2=O)c2nc1	
fjmaa@LBtX@P`HrJIQIKQPzIHeLeZjVfZ@B@HXf`	Epalrestat		3.7	non-CNS	319.404	1.7901	-3.349	-1.9104	4	1	237.55	0.43368	0.75181	21	300 <= x < 325	C/C(/C=C(/C(N1CC(O)=O)=O)\SC1=S)=C\c1ccccc1	
dcNH@FAIfYWgZ`hH@@	Ephedrine	9.52		CNS	165.235	0.7353	-1.434	-1.3929	2	2	140.59	0.58289	0.55537	12	150 <= x < 175	CC(C(c1ccccc1)O)NC	
flmp@@@XIdbbVTTTRRNJJlzHTmUP@P@TDJT@@	Epinastine	8.77		non-CNS	249.316	2.5825	-4.118	1.1977	3	1	187.83	0.087057	0.87682	19	225 <= x < 250	NC1=NCC(c2c(C3)cccc2)N1c1c3cccc1	
en]XM@@JPACHdfecgdV\bbbbbbbtRRrcVbfbVTVxTt|\JzFaqZ@Hb@fbjjijjjBf@hMIdBhYc@@	Epirubicin	9.93	8	non-CNS	543.523	0.1673	-4.507	-1.3809	12	6	368.51	0.19109	1.0419	39	525 <= x < 550	C[C@@H]([C@@H]([C@H](C1)N)O)O[C@H]1O[C@@H](C[C@@](C1)(C(CO)=O)O)c(c(O)c2C(c(c3ccc4)c4OC)=O)c1c(O)c2C3=O	
