CAS number	chemical name	name IUPAC	merck index ref	literature ref	patent date	Launched date	FDA approved	code ATC	solubility	Additional info type	Additional info detail	blood brain barrier	administration	absorption tissue	protein binding	metabolism tissue	metabolism metabolite	daily dose	side effect name	target type	target name	therapeutic class name	therapeutic effect name	Structure [idcode]	Synonyms	T max	protein binding rate	bioavailability	half life time	absorption rate	distribution volume	Smiles	
123318-82-1	Clofarabine						Yes				Inhibits the enzymatic activities of ribonucleotide reductase (IC50 = 65 nM) and DNA polymerase										DNA/RNA Synthesis	Cancer		fbmia@DXXJQdyAD^dLbbRbrabTVUNRTxL@QUUUTLSRmGPL@@ !Bjb|@zPm[jb~jKpCiBul}UY_EEm_dPmxOU\OCQHOGxYWoElKUst	Clolar, Evoltra							Nc1c2ncn([C@@H]([C@H]3F)O[C@H](CO)[C@H]3O)c2nc(Cl)n1	
149003-01-0	Dexrazoxane Hydrochloride						Yes				A cardioprotective agent										Others	Cardiovascular Disease		fbeHR@LLLfGHyADXDhdhcEhdhfBBejfjjifhRP@ !BMQD~@N\Bb@H~@Cx@ypJH@h`BbMt~@H`BbMt~@H`Bb@JHwSx@O`@	Totect, ICRF-187, Zinecard, Cardioxane							C[C@@H](CN(CC(N1)=O)CC1=O)N(CC(N1)=O)CC1=O.Cl	
57852-57-0	Idarubicin HCl						Yes				Idarubicin is the anthracycline antibiotic and target DNA topoisomerase II (topo II). MCF-7 cells were sensitive to idarubicin, with an IC 50 value for growth inhibition of 0.01???M										Topoisomerase	Cancer		ejQXIH@LXIHdjimkbPHc@eEEEEDmDeeJmEMDcDnMCOGLfn`XV`BH@fJjjfjj`i`J]PY_HFPh@ !BVcc^[z_]bMvg@myowf~H@mx@i}vHWZ]]bEvHw]yoipK^[}yob@JgW]x@i}vg@j_|iuw^[z]]w`BgWXa]irgMx@iuw^@J_|	Idamycin, Zavedos, 4-demethoxydaunorubicin							C[C@@H]([C@H]([C@H](C1)N)O)O[C@H]1O[C@@H](C[C@@](C1)(C(C)=O)O)c(c(O)c2C(c3c4cccc3)=O)c1c(O)c2C4=O.Cl	
75607-67-9	Fludarabine Phosphate (Fludara)						Yes				Fludarabine Phosphate is an analogue of adenosine and deoxyadenosine, which is able to compete with dATP for incorporation into DNA and inhibit DNA synthesis.										DNA/RNA Synthesis	Cancer		fakiq@CARwlDXIqU`^EYCIILUDhlihdmEKTTeZuUUUTBDUAFPTdmP@ !BoU\Ho_pHUpH@b}TIHNWuQ[Vpm@FP@Nd`}|BEQ[IVA@FUBRU@QTABU`PAe@FP	N/A							Nc1c2ncn([C@@H]([C@H]3O)O[C@H](COP(O)(O)=O)[C@H]3O)c2nc(F)n1	
362-07-2	2-Methoxyestradiol						Yes				2-methoxyestradiol (2ME2) is a natural metabolite of estrogen that is known to inhibit HIF-1 alpha with an IC50 of 0.71 ?? 0.11 ??M for the inhibition of BPAEC migration.										HIF	Cancer		ffsA`@@TjeMsjro\oAZmxJRtDAUUUUEUIKT]@iJ@@ !BysvHOSx_yrHO^\}yswgN\ByswgOSx@ypKg@n_|O`AOqT~jdX@cFLU`	2-ME2							C[C@](CC1)([C@@H](CC2)[C@H](CCc3c4)[C@H]1c3cc(OC)c4O)[C@H]2O	
2068-78-2	Vincristine						Yes				Vincristine Sulfate is a microtubule function inhibitor with IC50 of 10.4??1.1, 28.1??3.4, 22.4??2.1 ??M for HL-60, Bel7402, HO-8910, respectively.										Microtubule Associated	Cancer		ghHd`x`@O@IEZ`HLABapRRhrX]NW_`@Qdd`ZbTfbbTRTTRRRRrdRrbRbZTbT\RvUaSYTZ_@THTbqLnUktzKMmrtuUAMAUTPUUPUUUMUSUTpUEL`QHdNRELTIPuGRKP@@ !Bwjw^`lK^S]yVi]zBzghmLnhYwgj^oezwjwy^nhYw`IYN^hY~QgyF^iz}M{y^`elA\{j^oezX}{jF^iz~QdVG@fR^Qg^k_ezzgkj^nhYqYDYI_ezwjwyF]{|~Qg^OdYFagyF]zm~Wky^oez~QgjF_dY~QgyF_ez~WiUjmzB~Qd	leurocristine, Oncovin							CC[C@](C[C@H](C1)C[C@]2(C(OC)=O)c(cc([C@](CC3)([C@H]4N3CC=C[C@@]4(CC)[C@H]([C@@]3(C(OC)=O)O)OC(C)=O)[C@H]3N3C=O)c3c3)c3OC)(CN1CCc1c2[nH]c2c1cccc2)O.OS(O)(=O)=O	
138112-76-2	Agomelatine						Yes				Agomelatine is classified as a norepinephrine-dopamine disinhibitor (NDDI) due to its antagonism of the 5-HT2C receptor.										5-HT Receptor	Neurological Disease		fdy``@D@BdskLlzl{sUP@@E@@@ !BbKvHKy_bKvH@hb}bOr~Wxb}o`BHoX`Boe~H@kx@o`BH@	Valdoxan, Melitor, Thymanax							CC(NCCc(c1c2)cccc1ccc2OC)=O	
865-21-4	Vinblastine						Yes				Inhibits microtubule formation and nicotinic acetylcholine receptor (nAChR) activity .In cultured chromaffin cells, vinblastine (IC50=8.9 microM).										Microtubule Associated	Neurological Disease		gmvDaH@@EFrxJ@HKAHtfsEivQQJSQQJIJJIIIIYRIYQIQORIRqKYV^F`RHlvGLUqyBQBeTitFkMUPSPUUDEUTEUUUUSUTpUELcACDzPyGd~SeIR]P@@ !BiihzlWl@BckQDpk^BVk^iPUfagfFFjW^Z`dEBPTIbkZJDQGJAmrYnmzeAVZewfhIZfXeSfifqahIA]zeAVYZ^fifZ`deScdFIVEfAPTIS`heD[Djf[jYf]zeAV[Y^mezMjIjBPTIfYdeDTTjwjTeCifYXXh	Vincaleukoblastine, Velban, Velsar							CC[C@](C[C@H](C1)C[C@]2(C(OC)=O)c(cc([C@](CC3)([C@H]4N3CC=C[C@@]4(CC)[C@H]([C@@]3(C(OC)=O)O)OC(C)=O)[C@H]3N3C)c3c3)c3OC)(CN1CCc1c2[nH]c2c1cccc2)O	
915087-33-1	MDV3100 (Enzalutamide)						Yes				MDV3100 is an androgen-receptor (AR) antagonist with IC50 of 36 nM.										Androgen Receptor, P450	Cancer		e`TRDJ@DLCgeK`@bjPFdIiAZPrJJJJIQQKHsSJSJpt\AYIMMUPHT@EEU[T@@@ !BXBUjKq`lXt\@okx@FFNR}y|NKD^W@h`BUHS@zVMGXt^~@Kx@gpzR}y_|bOqcQ^Mdo_Pdkx@Xt^WHc|bKt	N/A							CC(C)(C(N(C1=S)c(cc2)cc(C(F)(F)F)c2C#N)=O)N1c(cc1)cc(F)c1C(NC)=O	
65928-58-7	Dienogest						Yes				Dienogest is an orally active synthetic progesterone (or progestin).										Estrogen/progestogen Receptor	Endocrinology		fnk``@F`sdTRTrTrTtReUFRUYpTmMSUUUU]TQTMGHJ@@ !BypKgOSx@ypKgCx@yswgN_|yst~@N_|yp~@DESzh~@BLXMvJzHBodJ~P	Natazia							C[C@](CC1)([C@@H](CC2)[C@H](CC3)C1=C(CC1)C3=CC1=O)[C@@]2(CC#N)O	
209216-23-9	Entecavir hydrate						Yes				Entecavir hydrate belongs to the family of medicines called antivirals.										Others	Infection		fjmhP@DTxIPDyKdTRbbUTTVRCNRUxKSMMTuUUcR}@p@ !BKjEHCMkKjv[rzLvnEHC]uwV]oxSMxWV_z@C]uKigoFlsYutOb`	Baraclude							C=C([C@H](CO)[C@H](C1)O)[C@H]1n1c(NC(N)=NC2=O)c2nc1.O	
78281-72-8	Nepafenac						Yes				Nepafenac is a non-steroidal anti-inflammatory drug (NSAID).										Others	Inflammation		fleP`@AIAGHhhhhdmL]EVMyh@`@bX@@@ !BerWo[x@er~Wy_|bOr~@I^}e{v~@Kx@oe~W@hc|e{vWKy_	Nevanac							NC(Cc1cccc(C(c2ccccc2)=O)c1N)=O	
106308-44-5	Rufinamide (Banzel)						Yes				Rufinamide, a triazole derivative, is an anticonvulsant medication.										Sodium Channel	Neurological Disease		fhiIA@IJLGpICdadTTRblRrcAFm@QERsD@@ !BOg~w_]A}Og~wWCym}wPo[_]d[ODm}iJ{n}oV`dz\	Banzel							NC(c1cn(Cc(c(F)ccc2)c2F)nn1)=O	
171228-49-2	Posaconazole						Yes				Posaconazole is a triazole antifungal drug.										Others	Infection		elyqBD@G@bm`^]SQDePpICRPrJJIJQYHjIIFIKJIKJIKJJKZJIc`rsHjY[xFegTv@`jjjiX@Jjh@JfZjbbHbaVRuNp@ !Bk[\\Yq|ak[\@{jvwGrGuCpCQwT`_H_`Kan|rEBM`@{ulAblab@DuEBMFJqvguBMTHuvguBMFJqvguBMTHuvguBMFJqvguBMTHuvguBMBOrF{Y@~@l@tTCFjaATVMDPL[EKp	Noxafil							CC[C@@H]([C@H](C)O)N(C1=O)N=CN1c(cc1)ccc1N(CC1)CCN1c(cc1)ccc1OC[C@@H](C1)CO[C@@]1(Cn1ncnc1)c(ccc(F)c1)c1F	
150322-43-3	Prasugrel (Effient)						Yes				A novel platelet inhibitor										P2 Receptor	Cardiovascular Disease		fewaa@CXTd@PVPrQQQYJJjJJJKSDiHsY}GTmTuTCPTTTKT@@ !B}n~oQhc]mpw]y}vHb@H_Oa|~O`BHw]vHGs{]bMwgH`_OosgGsx@OmvHwXcg@n_]Gsx	Effient, Efient, Prasita							CC(Oc1cc(CN(CC2)C(C(C3CC3)=O)c(cccc3)c3F)c2s1)=O	
196597-26-9	Ramelteon (TAK-375)						Yes				Ramelteon is a melatonin receptor agonist with both high affinity for melatonin MT1 (IC50 =28.5 ?? 8.55 pM)and MT2 (20.1 ?? 9.25 pM)receptors and selectivity over the MT3 receptor.										Others	Neurological Disease		flu``@D@BdrnsKONc^bEKUUPQDTTNH@ !Bo`BWHc|e{vHoY_|e{uQg^RUIoozPn[IR|@obToFFOozVho	Rozerem, TAK-375							CCC(NCC[C@@H]1c2c(CCO3)c3ccc2CC1)=O	
364782-34-3	AMG-073 HCl (Cinacalcet hydrochloride)						Yes				AMG-073 (Cinacalcet hydrochloride) represents a new class of compounds for the treatment of hyperparathyroidism.										CaSR	Endocrinology		fmg`@`G@bHRFI@da`RdLRTJRTTtRbLeM{M]T@EUT@@@ACt@@ !BKI[g@JHO^_g@n\}O`CgN\BO`Cgw^_|y}wgN_]yp~Gsx@yswgHc|ysgwSx@O`BH@	Mimpara, Sensipar							C[C@H](c1cccc2ccccc12)NCCCc1cccc(C(F)(F)F)c1.Cl	
918504-65-1	Vemurafenib (PLX4032)						Yes				PLX4032 (Vemurafenib, RG7204, Zelboraf, RO5185426) is a novel and potent inhibitor of B-RafV600E with IC50 of 31 nM.										Raf	Cancer		ehR\LB@EGIhck`HbjPzdM`cHhdlhddeMCEEMCiBjFMCG@aeh@H@Je`bHejB@@@ !BUIo@qbToUImTfrToUIo@qbToUImTfrToTY|ey^}tHvWKy_esvHOY_|oe~HKy_e{vHo[y_@K{|ey^}oe~WoP	RG7204							CCCS(Nc(c(F)c1C(c(c2c3)c[nH]c2ncc3-c(cc2)ccc2Cl)=O)ccc1F)(=O)=O	
50-02-2	Dexamethasone						Yes				Dexamethasone is an anti-inflammatory and immunosuppressant.										IL Receptor	Inflammation		fcAR@AU[OXICHiEHhhhblXdicBkvkNbdmUUULuUMSUTrBPlStSBh@ !BtssUStBVts`_b_Q{PI{t^HP|a@_b]UOtscUS}Lx{WCt^yY@HCjdiMUO\LJ~@Ef`ZyrH@hb}	Decadron							C[C@H](CC(C(CCC([C@]1(C)C=C2)=CC2=O)[C@@]11F)[C@]2(C)C[C@@H]1O)[C@@]2(C(CO)=O)O	
89-25-8	Edaravone (MCI-186)						Yes				Edaravone(MCI-186), a strong novel free radical scavenger, is used for treatment of patients with acute brain infarction.										Others	Cardiovascular Disease		dk]H@DHDfYyWImMjhHA@@ !B@@{|BEQ[PAfMTEBRWpxlF@b}cUBMTBpX	Radicut							CC(CC1=O)=NN1c1ccccc1	
476-66-4	Ellagic acid						Yes				Ellagic acid has antiproliferative and antioxidant property.										Topoisomerases	Cancer		ffs@H@@HtxLRurJIQQIQJKQZtDkudnru@@PQQSA@@@ !BepJ~@I^}epJW@ky_o`BWoY^}e{vHI_|erWKy_oe~~@I^}e{vWoY\B	N/A							Oc1cc(C(Oc(c-2c(cc3O)C(O4)=O)c3O)=O)c2c4c1O	
78755-81-4	Flumazenil						Yes				Flumazenil is a benzodiazepine antagonist.										GABA Receptor	Neurological Disease		ffcqb@IJBINPRFQQISQZJEKSJgMV|F@HZjefhh@@ !BST}Ly{|QST}MS|S[oqE@ZgFhy\w@xbcZa}of]SIQ~~_{^}lKvpoKB}	Flumazepil, Ro 15-1788, Anexate, Lanexat, Mazicon, Roma							CCOC(c(nc1)c(CN2C)n1-c(ccc(F)c1)c1C2=O)=O	
446-72-0	Genistein						Yes				Genistein is a soy-derived isoflavone and phytoestrogen with antineoplastic activity.										Topoisomerase<NL>EGFR	Cancer		fbmAP@@BUGNQQQQQQPeIG`mNBehIb@@b`@@ !Be{vW@ky_e{v~@Hb}e{v~Wy_|bOrWHc|oe~~@Hb}bKvWKy_bKt	N/A							Oc(cc1)ccc1C1=COc(cc(cc2O)O)c2C1=O	
120410-24-4	Biapenem						Yes				Biapenem is a carbapenem antibiotic.										Others	Infection		fa{HRBNZLewlm@DZgwYHhhhhdeEdbcNRtZpTuijjjffZjihaDdhEEP@ !B@Ez]bBpXKCmbtL~vXHVExFCJa[_KUBg@@EyTaH|F@ExipLmTYFQd\|~vhIkY}p	L-627, LJC 10627							C[C@H]([C@H]([C@@H]([C@H]1C)N2C(C([O-])=O)=C1S[C@@H]1C[n+]3ccnn3C1)C2=O)O	
122841-12-7	Cefoselis sulfate						Yes				Cefoselis sulfate is an antibiotic.										Others	Infection		eaUQEL@AKDnioh^XDLB@lbjgfP@b`HiBLddCbbTRRRTtTlTRTRrVtabffuqMJuUUUMLuMSRtuSRCDddGT@ !B@Myowmx@wf|SDceOHEjdbxnKiHl`VhnK[}x@wfPKwf}]ipJHhEhycrg[}z@]oWPWZ]]bH[@UJnDUF^kw[btM@RpHY]bJg@juQTj}\R	N/A							CO/N=C(/C(N[C@@H]([C@H]1SCC(CN(C=C2)N(CCO)C2=N)=C(C(O)=O)N11)C1=O)=O)\c1csc(N)n1.OS(O)(=O)=O	
103060-53-3	Daptomycin						Yes				Daptomycin is a novel lipopeptide antibiotic.										Others	Infection		gl{^Hl@@JFcHT^PmQklAPlUKdjuI`DEcpdFDeSktFSYfv{}ah~\hvz}Y|q^QQJJIJZJISSQSIQQZIQGISQSQSIVFJYJKJJYKPqJIJHqQSJIYQHjIKkYI@nQwzcIz{[UUUSMMPMUPUMEMSLuUTuMSMUUSTuSSMTEKPQUQQXpPaNB\RiIdiJLbrHsb`lNp@@ !BOieZz[giVhYyacx@Vnd~~ggiUkYV]c{MOoiyac{zUmEVTU[Q^^eyzS{zUkX~fSzYUgYyagfFUkYqmc{zUmEVtUYQOoiyzS{z^^d~~czYUgYqmczYnXYyaczZ\[YVmc{zUeD~~gGQ^^eyzWEvUgX~fWfFOig^~mgZUeEqtSzY^^eVtTUQOieV]czY\[YyaeYvL_T~yEYQ^^d~xu[QbWxVuWEvUgX~fWfF\]FZHWGQOoiqTQh~OoiyzSzY\W[zngFv\WX~~eYQUkX~f]zYOoiqtWEQUkYV]gEvUmEqTWEv\UEq]gEQ	Cubicin							CCCCCCCCCC(N[C@@H](Cc1c[nH]c2c1cccc2)C(N[C@H](CC(N)=O)C(N[C@@H](CC(O)=O)C(N[C@@H]([C@@H](C)OC([C@H](CC(c(cccc1)c1N)=O)NC([C@H]([C@H](C)CC(O)=O)NC([C@@H](CO)NC(CNC([C@H](CC(O)=O)NC([C@@H](C)NC([C@H](CC(O)=O)NC([C@H](CCCN)NC(CN1)=O)=O)=O)=O)=O)=O)=O)=O)=O)C1=O)=O)=O)=O)=O	
364622-82-2	Doripenem Hydrate						Yes				Doripenem (doripenem monohydrate) is an ultra-broad spectrum injectable antibiotic.										Others	Infection		fcwIq@LDyzBBu{OX@cPQddarbVRbbbTVN`dkt\mVjjjZjffjicHjNdXuCP@ !Bd^v`MBR~zrXp}BRbMuFpHQT`O[|b@@~KA`lAvCEq^A`jlVO@CyTaJ}F@CydYFQKn\~`v`Xb	Doribax, Doripenem monohydrate, S-4661, Finibax							C[C@H]([C@H]([C@@H]([C@H]1C)N2C(C(O)=O)=C1S[C@@H]1CN[C@H](CNS(N)(=O)=O)C1)C2=O)O.O	
60282-87-3	Gestodene						Yes				Gestodene is a progestogen hormonal contraceptive.										Estrogen/progestogen Receptor	Endocrinology		fnk@`@@YRYVum[[ghrRk^CEijjjijkjfLPdjFWeE@@ !BysgOSx@ysgCx@yswgN_|yst~@N_|yqOqSx@HqaOjiF@K}jyHIblK}h	N/A							CC[C@](CC[C@@H]([C@H]1CC2)[C@@H](CC3)C2=CC3=O)([C@H]1C=C1)[C@@]1(C#C)O	
941678-49-5	Ruxolitinib (INCB018424)						Yes				INCB018424 is a JAK family inhibitor for JAK1, JAK2 and JAK3 with IC50 of 2.7 nM, 4.5 nM and 322 nM, respectively.										JAK	Cancer		fnkX@@@DYxm\bRbbbRVLRbRUhudejwjjiZ`BIhhX`@ !Bo`B~@I_|e{v~@EF_}yIGKA`l{~dKfvi`IVB_ChwPXt^_Ci|Nqn}cQxwwe{t	N/A							N#CC[C@H](C1CCCC1)n1ncc(-c2ncnc3c2cc[nH]3)c1	
192725-17-0	Lopinavir (ABT-378)						Yes				Lopinavir is an inhibitor of the HIV protease.										HIV Protease	Infection		egXrJ@@DLMI`EJgd\bbbTVbaLRTTRtVVbfRRttTSD`vqKNmkUUSUUPTEELDD@QD@PPgHdfh@@ !BOa~HO^\}bOp~Gsx_O`BHO^\}yrHCx_b@H~@N_|bOp~@H`}ypJH@cx_b@H~@Cx@bCt~@Hc|Oa~H@n\}bCt~@H`}Oa~HH`BbCvHOSx_b@JHO^\}bCt~@Hc|	ABT-378							CC(C)[C@@H](C(N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC(COc1c(C)cccc1C)=O)O)Cc1ccccc1)=O)N(CCCN1)C1=O	
50924-49-7	Mizoribine (Bredinin)						Yes				Mizoribine (Bredinin) is an imidazole nucleoside and an immunosuppressive agent with an IC50 of approximately 100 ??M.										DNA/RNA Synthesis	Cancer		fdypp@DDDCbkAcdTtRaTRbrXHsfiZjjjhdeiFch@ !BWJbm\@AA}Ca\QqBUE[\`VkccHEiA[uqGawtPePAAVh~BEp	HE 69							NC(c(ncn1[C@@H]([C@@H]2O)O[C@H](CO)[C@H]2O)c1O)=O	
112885-42-4	Mosapride citrate						Yes				Mosapride is a gastroprokinetic agent that acts as a selective 5HT4 agonist.										5-HT Receptor	Neurological Disease		ee]\ED@BMLiE@kohV^QYPH`zPRYgUgWeWYWMnmYfNLbemhHBfjjjh@IjjfXbCr`@ !B^|t~mwnbVLu{sWoM^zI{hgoMOmA{sQfW^zKTlwoMOk]{hgoM^|u{hgnb^|t~mwnb^|u{sWnb^|uCWoM^zH~mqfWVLu{sUbb^zH~tEcMOmA{sP	TAK-370, AS-4370, Gasmot							CCOc(c(C(NCC1OCCN(Cc(cc2)ccc2F)C1)=O)c1)cc(N)c1Cl.OC(CC(O)=O)(CC(O)=O)C(O)=O	
82956-11-4	Nafamostat mesylate						Yes				Nafamostat is an anticoagulant.										Proteasome	Cardiovascular Disease		ebRZAD@Eo`T\XDLFNAEC@@b`HrRPNRAjIQQIIZYIKQFE]MCGOKRtu@@@AACS@@@@ !By}vH@`KgwX`JOn_]bOpBy}vHYnxBy}wg@Cx_OorHN\}ysvH@Cx@Oa|~Gs{|y}vHw^\@Oa|~GsxBbMwgwX`@Oa|~w^_]b@	Futhan, FUT-175							CS(O)(=O)=O.CS(O)(=O)=O.NC(c1ccc(cc(cc2)OC(c(cc3)ccc3NC(N)=N)=O)c2c1)=N	
501-36-0	Resveratrol						Yes				Resveratrol is a phytoalexin produced naturally by several plants with anti-cancer, anti-inflammatory, blood-sugar-lowering and other beneficial cardiovascular effects .										Sirtuin	Infection		fhiA`@@LCdTRTQRbRuNN}@DS@A@B@h !Bb@J~@Hb}b@JH@kx@bKvHoX`BbKvH@ky_bKvHo[y_bKt	N/A							Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1	
61036-62-2	Teicoplanin A2-3						Yes				Teicoplanin is an antibiotic used in the prophylaxis.										Others	Infection		dRFIdHQ@@D`xALRT}OIfwb@p\J`XvKbd]Lq\_@JBPaJRTmHrvkhFqnZVU`{Ngk{~@PBHwHcHhhddihhdheDheEEheELeEDhheeEDeDhTihhhdhSFdndhmDdddbmEhdbheEELmELmfpB@PtD`Xr^bivWcdqQRTmEQuu_RLKQw\wGs|`pPQATEUETuUUMUAMUUUTCTp@uLT@U@QTaUQUUULEUTUDEQADGQHRpTPba]DfD|IDaHfQ\bEHjHLWXor_RIikSvd\by]r@@ !Bb@K^@Ha]ipJH@h`BiuvHWXa]ipK^[xc|wf^@J]]iuvHJ]]bEvKiJ_|wf}^[}x@bMvgHc|wf}ONUh`iutgwXa]bOs^[xc|wf~gWZ]]bzR`Vhndis^[z\Bwf~HHc]w`BHWXa]wj^[r@yVbBONXc]VjC^@J]]iut~@B_]bOrHHc|wf~HWZ]]iuvHWUjOHEhKY@mdwf~H@myo[}yZc}yowf^[}yobMvgWXndbxl`NZ_]iuvHwXa]b@K^[seOVd}ZS}yowf~HWSeOBxl`NZCYiuvHWXc|iuwGy]yob@K^[xa]is^[uvgWXbHWZ]]bEvHH|yJ\Biv^wf^[}x@wZ^g@	Targocid							CCCCCCCCCC(N[C@H]([C@H]1O)[C@H](Oc(c(Oc(ccc(C[C@H](C(N[C@@H](c2cc(Oc(cc([C@H]3N)cc4)c4O)cc(O)c2)C(N[C@H]2C(N[C@H](c(cc4)cc(-c(c(O[C@H]([C@H]([C@H]5O)O)O[C@H](CO)[C@H]5O)c5)c([C@H](C(O)=O)NC([C@H]([C@@H](c(cc6)c7)O[C@@H]([C@@H]([C@H]8O)NC(C)=O)O[C@H](CO)[C@H]8O)N8)=O)cc5O)c4O)C8=O)=O)=O)=O)NC3=O)c3)c3Cl)cc2c2)c2Oc6c7Cl)O[C@H](CO)[C@H]1O)=O	
220620-09-7	Tigecycline						Yes				Tigecycline is a glycylcycline antibiotic.										Others	Infection		ee[ZA@@OHo`\PACDamhT\bbbbbbbtQdvfbTlVRbb|gFb`SaRusPMAUQUUMLuSUUQQGDlQTV`@ !BO`BH@n\BbMt~@N_]O`@~Gx`BbOsgCx_ypKgHc]O`@~@N_|y}t~@H`Bb@Kg@cx_ypKgCx@bMt~@N_]O`BHN\BOagHc|yrHwX`BOa|~@@	Tygacil, GAR-936, WAY-GAR-936, TBG-MINO							CC(C)(C)NCC(Nc1cc(N(C)C)c(C[C@@H](C[C@@H]([C@@H](C(O)=C(C(N)=O)C2=O)N(C)C)[C@]22O)C(C3=O)=C2O)c3c1O)=O	
13647-35-3	Trilostane						Yes				Trilostane is an inhibitor of 3 ??-hydroxysteroid dehydrogenase used in the treatment of Cushing's syndrome.										Dehydrogenase	Endocrinology		faga`@H`UwIEDiDhhtdhXeAGMRLEIVuUUSUWUUUPhIDqFHt}Dhj@@ !Bwo@\xmxHW_WlxewbGNK^bOwbGOW^BKwuw``\Dewb^KlDmxH_}z}xmxHw`c^B@	Vetoryl							C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1[C@@](C)(C1)[C@@]33O[C@@H]3C(O)=C1C#N)[C@H]2O	
30123-17-2	Tianeptine sodium						Yes				Tianeptine is a selective serotonin reuptake enhancer (SSRE) compound used for treating major depressive episodes.										5-HT Receptor	Neurological Disease		fgPSBENEKYpQC@b~`_ksdTRTtbLTVRRvRR`ipwlu`BEjjHHji`HZH@@ !BnLFb]HjKnLFxpXkdbhl~nAoF~F[xRTr]Y`QfFtpBUMJDfURuUKUfFuSRaIefFxRYYanDfVX[{Cp@wP	Stablon, Coaxil, Tatinol							CN(c1c(C(c(cc2)c3cc2Cl)NCCCCCCC([O-])=O)cccc1)S3(=O)=O.[Na+]	
375815-87-5	Varenicline tartrate						Yes				Varenicline is a prescription medication used to treat smoking addiction.										AChR	Neurological Disease		fegpp@EAfAAFBedTtttAbbTQRTR|ENZ}GMjjX@@BjhJQaT`@ !BwePlJdLjweQCQ]xsPrk^UDMESL[ewURAVjLskejcUHGeO^W]LzycNnOzXugZYAOiiW|	Chantix, Champix							O[C@H]([C@H](C(O)=O)O)C(O)=O.C(C1CNC2)C2c2c1cc1nccnc1c2	
229975-97-7	Atazanavir sulfate						Yes				Atazanavir sulfate (BMS-232632-05) is a sulfate salt form of atazanavir (BMS-232632) that is an highly potent HIV protease inhibitor with EC50 and EC90 of 2.6~5.3 nM and 9~15 nM in cell culture.										HIV Protease	Cancer		eayvMH@AGDknYXDLBJNKIlZvp@`hbHAdaDrDaHcJaDRDaDrDqDRDaHrDQDQHaLrAN~Ms]KVfjijjjB`hjX@h@j`Z@HTSRVaL@@ !BOot~WEp~Sy^qcy\{UjBVnuy`gfBVc{}OerB^^uy`gd~XIZXPBB^^uZ`eh]^Sy\OerB^QuZGUjBVc{}OerB^^uy{Uh~XIZOgt]VauyOerB^Sy\GWd]^QuZGUjBVhIZ{Uh~WAuZOep~W@Iy@eh	BMS-232632-05, Reyataz							CC(C)(C)[C@@H](C(N[C@@H](Cc1ccccc1)[C@H](CN(Cc(cc1)ccc1-c1ncccc1)NC([C@H](C(C)(C)C)NC(OC)=O)=O)O)=O)NC(OC)=O.OS(O)(=O)=O	
115550-35-1	Marbofloxacin						Yes				Marbofloxacin is a potent antibiotic inhibiting bacterial DNA replication.										Others	Infection		fewHR@B^SfPQsAHILrsJjsnoLUYOlqKAATUTuUSEH@@ !Be{vW@ky_o`BWoY^}epJH@i\Boe~~W{x@o`BWoY^}bKvWoX`Boe~~W{y_o`BWoXb}e{t	Marbocyl, Zeniquin							CN(CC1)CCN1c(c1c(c(C(C(C(O)=O)=C2)=O)c3)N2N(C)CO1)c3F	
32222-06-3	Calcitriol (Rocaltrol)						Yes				Calcitriol is the hormonally active form of vitamin D.										Others	Endocrinology		eg`PL@@@MklbdQRbfdRQfrbbtQgdVRquUUUUUMMMUUL\HQJHrSQYHQQR@ !B@`WOpHBCtWOQ_|EstWCz_dPAwCV}Fe@R`q_LDqZCEhF}Fe@SEhF}F|qoEhJkO[tYoQoL[qZCEh@	Calcijex, Silkis, Rocaltrol, Topitriol, Cholecalciferol							C[C@H](CCCC(C)(C)O)[C@@H](CC1)[C@@](C)(CCC2)[C@@H]1/C2=C/C=C(/C[C@H](C[C@@H]1O)O)\C1=C	
19356-17-3	Calcifediol						Yes				Calcifediol is a major circulating metabolite of vitamin D3 and acts as a competitive inhibitor with an apparent Ki of 3.9 ??M. It also suppresses PTH secretion and mRNA (ED50=2 nM)										Others	Endocrinology		fk@`@@GrJQEJJZQIF[JJKHwhyWnjjjjjfffjjiqBRdZKRHqT !B@`WOpHBCtWOQ]|EstW_Cz_dPAwCV}Fe@R`q_LDqZCEhF}Fe@SEhF}F|qoEhJkO[tYoQlV`qZ@	Calcidiol, Didrogyl, Hidroferol							C[C@H](CCCC(C)(C)O)[C@@H](CC1)[C@@](C)(CCC2)[C@@H]1/C2=C/C=C(/C[C@H](CC1)O)\C1=C	
133454-47-4	Iloperidone (Fanapt)						Yes				Iloperidone (Fanapt, Fanapta, Zomaril) is an atypical antipsychotic for the treatment of schizophrenia.										Others	Neurological Disease		eodTBH@AOFLnk`ICHhdieeDeddeEDdUJNAIGOImh@bjjjjBBIa`@@ !BpLYjXER[pL[@qgrHUIo@z]BRbKvHKy_bKvHo[y_bKvHHb}bGrHoXc|oe~~@Hb}bKvH_Ky_bKvH_Ky_	Fanapta, Zomaril							CC(c(cc1)cc(OC)c1OCCCN(CC1)CCC1c1noc2c1ccc(F)c2)=O	
