Structure [idcode]	m	Value	Unit	Type	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	pValue	Ring Systems [idcode]	Ring Systems 3 [idcode]	Murcko Frequency	Row-ID	Neighbor Similarity SkelSpheres 88%	Neighbor Count	Neighbor	Neighbor Analysis X	Neighbor Analysis Y	SALI pValue/SkelSpheres	Smiles	
fcp`@DQJCJSKZwZwmlkDhISoSVu@D@ATt@E@@@@ !BNsPn@C}YK{K}RCvwoxG_ouHO[_|RM~A@tc}RG~`hb}JG~oXb}Uw~o[\}JK~wwy}bGuW	=	1258.9	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				5.900008758032968	fewp`@DArAJSKZwZzvriJBT{pymPA@@Tt@D@@@	fa{@@@LdbbbRTVZRTRPmJ\Zs^uUUUUUUUU@@@	4.0	470	0.84324; 0.92124	2	485; 482	-0.64041656	-0.043132193	10.844; 27.935	Cc1cccc(NC(Nc(cc2)c(C)cc2-c2cccc3c2CNC3=O)=O)c1	
fcXa@DLDzOYkADCBLbbRbtRbTRrVJTeFF\fiVp@ULEPTUKDP@@ !BwyeeGrnDwyg_fRnDYQ|kaA}eKF\ZXOympISY|BfJxRw_[]}Ff@ZXK\BJxPZXBnDJxRDUKlk	=	100	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				7.0	ffsh@@@XiXNRJJIQFIQKIYgMVbWMPJBXJ`hbH@@	ffs@@@LdbbRbTrJtrWMBTxIZuUUUUUUUP@@	4.0	472	0.89582; 0.9066; 0.88896; 0.96519	4	507; 356; 461; 465	0.21177879	0.3075026	3.8397; 5.3538; 9.0059; 22.983	CS(NC(CC1)CCC1Nc1cc(Cl)nc(-c2c[nH]c3c2cccn3)n1)(=O)=O	
fdeQ@@DFAdTRbRRTJbIQVg^ZiBBZhD@@ !B_ySFEMgGvT_Fah_mrw_Rn{mwvwJ[_otzw_\wO_X`qop	=	5.01	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				8.300162254292012	f`iQ@@DFAdTRbRRTJIQVg^ZiBBZA@@	foQ@@@LdbbbQLRhpTkNjjjjjh@@	4.0	476	0.93216	1	195	0.2498758	0.43128234	22.174	Cc1c(C=C(c(cccc2)c2N2)C2=O)[nH]c(C)c1	
fmop`@DArAJSKZwZzvrlR`eN|N[T@P@EM@AP@@@ !B^{Pn`E|yS{JCRCtwoy`WthO[\BbK~Rb}JK~Xc_ouH[__gvHS^k~[^}R@	=	7.94	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				8.100179494443113	fewp`@DArAJSKZwZzvriJBT{pymPA@@Tt@D@@@	fa{@@@LdbbbRTVZRTRPmJ\Zs^uUUUUUUUU@@@	4.0	482	0.92124	1	470	-0.73251176	-0.0055584824	27.935	Cc1cccc(NC(Nc(cc2)ccc2-c2cccc3c2CNC3=O)=O)c1	
ek`\D@@DHb`LlbbTrTttRJTrbRbHhDT|BfVZ`B@HJZ@Bh@@@ !BYV@lFA|ZTqc~@K]}mpJw@ox@mwvH@k\B`BH__x@mpK~@K\Bmww~@K\B`Bw_[\BmpJw__x@mwt	=	25.12	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				7.599980350425509	fewp`@DArAJSKZwZzvriJBT{pymPA@@Tt@D@@@	fa{@@@LdbbbRTVZRTRPmJ\Zs^uUUUUUUUU@@@	4.0	485	0.9313; 0.84324	2	414; 470	-0.5562779	-0.12991886	17.468; 10.844	Cc1cc(NC(Nc(cc2)cc(C)c2-c2cccc3c2CNC3=O)=O)cc(C)c1	
fkHb@AVjOQPRFQQISJYZIQHsIJITXJW`p@UKSUSUUQH@@ !Bf]|_YXPkf]~YwxPkmwwMsz[_s}Hknv]Sg|_Fa}eTv]eXFT__y}bGvw_y}mw~_[]}bG~_x	=	1.58	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				8.80134290124944	f`iQ@@DFAdTRbRRTJIQVg^ZiBBZA@@	foQ@@@LdbbbQLRhpTkNjjjjjh@@	4.0	496	0.96428; 0.96428	2	19; 194	0.5331079	-0.53541404	3.2497; 48.845	CCN(CC)CCNC(c1c(C)[nH]c(C=C(c(cc(cc2)F)c2N2)C2=O)c1C)=O	
fnsQ`@DFAUnQQJIIIPjIEJDhkSoMTaAMUTpH@@ !B_ySFEMgGvT_Fah_mrw_\BYmwvwHQTtl~H_XAN_[_PteR{pJYTn|BfYQ|	=	316.23	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				6.499996916860232	f`iQ@@DFAdTRbRRTJIQVg^ZiBBZA@@	foQ@@@LdbbbQLRhpTkNjjjjjh@@	4.0	505		0		-0.7518466	0.12846154		Cc1c(C=C(c(cccc2)c2N2)C2=O)[nH]c(C)c1CCC(O)=O	
ejQ^LH@FCG@dnoiMbPIAIe[{Y]YYWuUeZNGOJnieh@bZfj@@@jjja@@@ !B`L{RLJqgPLz@SmHpkJ^@sjqgtcB@soqHuKl`V]@rROtAo{^}RGtA_yR@IH_Tc}RGuH@da}R@IH_T`BRGuH@ozRGtw_T`B	=	316.23	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				6.499996916860232	fewY@@DBMzKPYEDeEDdd\heDemNMXkQsZhIBb`@@A@@@	fig@@@LdbbbRubRrRbRYHRg^zNjjjjjjjjj@@	4.0	518	1; 0.91858; 1	3	613; 181; 186	0.2367928	-0.336054	0; 19.614; 0	CCN(CCCOc1ccc2c(Nc3n[nH]c(CC(Nc4cccc(F)c4)=O)c3)ncnc2c1)CCO	
fnsHb@DLUFUPXfQQISZYQQJHyTxFNRpADt@@AP@@@ !Bmwvw@oymwvw[\Bg~@Hc|ms~@K\Bb@K~@K]}`BH@k\BmpJw_[\B`@	=	100	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				7.0	fbmI@@DXXDFQQIQQIQKQWWgASej`@@@@@@@	flu@@@LdbbbRuRbRYHRhijjjjjjj@@	4.0	524		0		-0.21924183	0.90226525		COc1ccc(c(NC(Nc2cccc(Br)n2)=O)ccn2)c2c1	
e`\RB@@DECA`HcklbbRbbbRJJTTRbJRRac`WPrvsURCPQP@@EU@@@@ !B_h@wHbBm{uHSyG}hAox`B[yWhx~OgROwH[~AR@IHPFRGvwo_yR@HA_s]}ROuH_T`BR@IH__z@R@H	=	30	nM	IC50	0.32	17.40	8.60			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 22 (9), 3050-3055 (2012)	22497760		7.522878745280337	fewH`@DJttGlbbRbbRQrTTRbJmV]UhymUHLAP@@D@@@	fig@@@LdbbbRubRrRTRYHRoAzNjjjjjjjjj@@	4.0	531	0.88589; 0.91799; 0.86721	3	304; 306; 307	0.7346251	0.6063389	3.733; 10.67; 4.7596	Cc1nn(C)cc1NC(Cc(cc1)ccc1Oc(c1c2)ccnc1cc(OC)c2OC)=O	
edZZJ@@DEMJe`OLgolbbRbbRVTrQTRbRrRRfe`PrqusURCAQU@@@UT@@@@ !B_h@wHbBm{uHSyG}jH@`F[yWcy|c}ROv`XbB`S|}]wz@ROtAo{^}RGtA_yR@IH_Tc}RGuH@h`BbGw~`D`B	=	200	nM	IC50	0.27	14.45	6.11			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 22 (9), 3050-3055 (2012)	22497760		6.698970004336019	fewh`@DJuEhOYEDeEDdcdheDeeZlxkQsZjPXB`@@H@@@	fig@@@LdbbbRubRrRTRYHRoAzNjjjjjjjjj@@	4.0	532	0.92652; 0.89393; 0.91652	3	305; 306; 533	0.6852642	0.6473347	17.706; 16.017; 0	CCn1ncc(NC(Cc(cc2)cc(OC)c2Oc(c2c3)ncnc2cc(OC)c3OC)=O)c1	
edZRJ@@DEME`CLgolbbRbbRbrVvTTRbJRRfcdTrqusURCPTU@@@UT@@@@ !B_h@wHbBm{uHSyG}jH@`F[yWcywz@rOuH[~AMrAOsuwROtAota}m{w~_t`B@W|w_Tc}RGuH@d`BRGw~`D`B	=	200	nM	IC50	0.27	14.48	6.93			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 22 (9), 3050-3055 (2012)	22497760		6.698970004336019	fewH`@DJttGlbbRbbRQrTTRbJmV]UhymUHLAP@@D@@@	fig@@@LdbbbRubRrRTRYHRoAzNjjjjjjjjj@@	4.0	533	0.92389; 0.88549; 0.92389; 0.91652	4	534; 305; 306; 532	0.6567946	0.6988582	7.1482; 11.361; 22.322; 0	CCn1ncc(NC(Cc(ccc(Oc(c2c3)ccnc2cc(OC)c3OC)c2)c2OC)=O)c1	
e`\RB@@DEME`CLglbbRbbRbrVvTTRbNRfcdTrqusURCPTU@@@U@@@@ !B_h@wHbBm{uHSyG}jH@`F[yWcywz@rOuH[~AMrAOsuwROtAota}m{w~_t`B@W|w_Tc}RGuH@da}R@H	=	700	nM	IC50	0.26	14.23	7.03			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 22 (9), 3050-3055 (2012)	22497760		6.154901959985743	fewH`@DJttGlbbRbbRQrTTRbJmV]UhymUHLAP@@D@@@	fig@@@LdbbbRubRrRTRYHRoAzNjjjjjjjjj@@	4.0	534	0.88963; 0.92389	2	306; 533	0.62533915	0.7430325	20.323; 7.1482	CCn1ncc(NC(Cc(ccc(Oc2ccnc3cc(OC)ccc23)c2)c2OC)=O)c1	
efUQLH@BMCOHlobUBa`HcHhhddiideLdlhXdlhdlpIxDUU\}bSAADsTmSS@AUUED@@@ !Bmww~_s\BbGvw_[]}R@Jw@n_lhBH_TF@[yVH@a}Ztua`Y_x@otDlFF@ZOW\ZxKsWotD}]pOHotF`XOHoxD}]pOHotEPXOHotD	=	390	nM	IC50	0.23	11.98	4.88		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. 21 (11), 2856-2867 (2013)	23618709		6.4089353929735	el^QL@@DLA@dbkdPCFlbbRbbRRjbVRfbRrbRt\LlRrvNaQZhFBRZZX@Jjbb@@@	ehZP@@@DjYU_ue^UuVWaRSRIKh[xFjjjjjjjjjjjj@@@	4.0	608	0.94667; 0.88631; 0.98453	3	611; 610; 609	-0.27877638	-0.18345152	33.994; 9.7983; 105.83	Cc1cc(NC(Nc(ccc(-c2n[nH]c(NC(c(cc3)ccc3N3CCN(C)CC3)=O)c2)c2)c2Cl)=O)no1	
efUQL@@DLADbfobPKAlbbRbbbRUVbVRfbRrbRqgecaUUsvIKU@qDeMML@EUTTP@@ !Bk|w_Ta}MpIH@oz@Mww`Y_z@MpIH@c\BkIc`Fc^}FnCg{DD@[qWovmOXotD}mwsWotG]mwHotF`POHOxD}]pOHOtFPXLhotD	=	9	nM	IC50	0.29	15.64	6.12		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. 21 (11), 2856-2867 (2013)	23618709		8.045757490560675	el^QL@@DLA@dbkdPCFlbbRbbRRjbVRfbRrbRt\LlRrvNaQZhFBRZZX@Jjbb@@@	ehZP@@@DjYU_ue^UuVWaRSRIKh[xFjjjjjjjjjjjj@@@	4.0	609	0.94765; 0.88972; 0.98453	3	611; 610; 608	-0.34977478	-0.18493152	3.3635; 4.7415; 105.83	Cc1cc(NC(Nc(cc2)c(C)cc2-c2n[nH]c(NC(c(cc3)ccc3N3CCN(C)CC3)=O)c2)=O)no1	
eaSQL@@DLABfahVPCElbbRbbRRJTbeVRfbRrbRvcaecWWpMKKU@pRUTttp@UUQQ@@@ !Bk|w_Ta}MpIH@c]}`A`Y_x@mpHw@jpXxAk~@Ak`y~p`ibnD^jAA`F|UGukSvK}AOW]|u{}Aw[\CrK}AoxDCrC~AOW\CrK}A_tFCrK}A	=	30	nM	IC50	0.26	13.86	5.72		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. 21 (11), 2856-2867 (2013)	23618709		7.522878745280337	el^QL@@DLA@dbkdPCFlbbRbbRRjbVRfbRrbRt\LlRrvNaQZhFBRZZX@Jjbb@@@	ehZP@@@DjYU_ue^UuVWaRSRIKh[xFjjjjjjjjjjjj@@@	4.0	610	0.90456; 0.95734; 0.88631; 0.88972	4	612; 611; 608; 609	-0.39356607	-0.12516588	5.1972; 16.385; 9.7983; 4.7415	CC(C)(C)c1cc(NC(Nc(cc2)ccc2-c2n[nH]c(NC(c(cc3)ccc3N3CCN(C)CC3)=O)c2)=O)no1	
ejYQL@@DLAHljglPCNlbbRbbRRJtRrTtRVTRVt\LlrJNnQqZhFBRfff@BjjJH@@ !Bk|w_Ta}MpIH@c]}`A`Y_x@mpHw@jpXxAk~@Ak`y~qA`F|UG}kSvK}AOW]|u{}Aw[\CrK}AoxDCrC~AOW\CrK}A_tFCrK}A	=	6	nM	IC50	0.30	16.43	6.26		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. 21 (11), 2856-2867 (2013)	23618709		8.221848749616356	el^QL@@DLA@dbkdPCFlbbRbbRRjbVRfbRrbRt\LlRrvNaQZhFBRZZX@Jjbb@@@	ehZP@@@DjYU_ue^UuVWaRSRIKh[xFjjjjjjjjjjjj@@@	4.0	611	0.92712; 0.94667; 0.94765; 0.95734	4	612; 608; 609; 610	-0.35750768	-0.061710563	16.396; 33.994; 3.3635; 16.385	Cc1cc(NC(Nc(cc2)ccc2-c2n[nH]c(NC(c(cc3)ccc3N3CCN(C)CC3)=O)c2)=O)no1	
ejQ^LH@FCG@dnoiMbPIAIe[{Y]YYWuUeZNGOJnieh@bZfj@@@jjja@@@ !B`L{RLJqgPLz@SmHpkJ^@sjqgtcB@soqHuKl`V]@rROtAo{^}RGtA_yR@IH_Tc}RGuH@da}R@IH_T`BRGuH@ozRGtw_T`B	=	100	nM	IC50	0.26	13.79	5.46		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 56 (17), 6991-7002 (2013)	23937569		7.0	fewY@@DBMzKPYEDeEDdd\heDemNMXkQsZhIBb`@@A@@@	fig@@@LdbbbRubRrRbRYHRg^zNjjjjjjjjj@@	4.0	613	0.91858; 1; 1	3	181; 186; 518	0.16556379	-0.32760316	13.472; 0; 0	CCN(CCCOc1ccc2c(Nc3n[nH]c(CC(Nc4cccc(F)c4)=O)c3)ncnc2c1)CCO	
ed^Q@@@@LBJCBeh\dTTRTVbTRRRRIRfRsGDffPqWSTwpHEAU@T@TEUUPARBdf`@ !BR@Hw@gz@ROt_y_x@Ms~ouLXY^|_Fha}M{vSeR{wyeMLOz@[MtFWoYQ|Sk]}wudA_vWobOvwo_zg~w__z	=	1	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		8.999999999999998	e`Z^@@@@LBJCBeldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@	e`ZP@@@DjYU_vUnVUU^EIMHljfcokgjjjjjjjjjjjjh@@	4.0	629	0.88826; 0.88432; 0.88354; 0.91204; 0.95865; 0.92148; 0.91885; 0.95152	8	634; 635; 632; 631; 630; 623; 625; 626	0.67027014	-0.2736443	6.9639; 7.8068; 1.905; 6.8443; 7.2801; 8.9015; 3.7097; 6.2098	C[C@H](CC1)CC[C@@H]1n1c(nc(Nc(cc2)ncc2N(CC2)CCC2N)nc2)c2c2c1cncc2	
ebYQ@@@@LBJCBeh\dTTRTVbTRRRRIRfRrcGDffPqWSTwpHEAU@T@TEUUU@EHJRZ@@ !BR@Hw@gz@ROt_y_x@Mq~ouLXY^|_Fhb}uwvSeR{wyeMLGz_cMtFWoYQ|Sm_}wue~ovWobKtwWzog|w@{zbKtw@p	=	2	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		8.698970004336019	e`Z^@@@@LBJCBeldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@	e`ZP@@@DjYU_vUnVUU^EIMHljfcokgjjjjjjjjjjjjh@@	4.0	630	0.91031; 0.93508; 0.94221; 0.9724; 0.89163; 0.89699; 0.92304; 0.95865	8	634; 633; 632; 631; 623; 625; 626; 629	0.64969826	-0.1450468	5.3199; 15.403; 9.048; 10.908; 3.6721; 0; 0; 7.2801	C[C@H](CC1)CC[C@@H]1n1c(nc(Nc(cc2)ncc2N(CC2)CCC2N(C)C)nc2)c2c2c1cncc2	
ejUQ@H@DJNGOLbo`ICHheEEMdhldihhbhddlVAK@djaeodX\XBHjhHJJjJBbb@dIic@@ !BmxHA`M_}mxI~o{\B@XCW_Xb}MtwGzog|w_Wz@MpLw@c_|ok|_y_x@bKtw@uLXY^|_Fk}NUKo_fTtps]Ae{vT_Ot{_VVWo	=	0.6	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		9.221848732359042	e`Z^@@@@LBJCBeldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@	e`ZP@@@DjYU_vUnVUU^EIMHljfcokgjjjjjjjjjjjjh@@	4.0	632	0.95154; 0.88354; 0.94221; 0.92245	4	633; 629; 630; 631	0.72124535	-0.13404153	9.8466; 1.905; 9.048; 10.625	C[C@H](CC1)CC[C@@H]1n1c(nc(Nc(nc2F)ccc2N(CC2)CCC2N(C)C)nc2)c2c2c1cncc2	
ef]QH@@LFAO@bj`PLdTrbbfrTVRTtTQTRRVODcdVSTvpNJIM@QEUAAQUQPTTPD`mBX@@ !BmpIH@ox@mwtw@oympK~`K]}bGtw_S_|k}~_s]}_h@wS\BMq~oqe`BH_S_}TqaeGq|ZotyTn}~YSSCMtJWoYQ|Sm}YY^|	=	0.2	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		9.698969997864525	e`Z^@@@@LBJCBeldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@	e`ZP@@@DjYU_vUnVUU^EIMHljfcokgjjjjjjjjjjjjh@@	4.0	633	0.93508; 0.91515; 0.95154	3	630; 631; 632	0.6753704	-0.07558334	15.403; 15.334; 9.8466	C[C@H](CC1)CC[C@@H]1n1c(nc(Nc(nc2OC)ccc2N(CC2)CCC2N(C)C)nc2)c2c2c1cncc2	
ekhRDD@LIM@ae`@apHrQQIIQJZIIIQVJDbcbQKkHj[Z`Pb`fBjFZ`T@@ !BGqjlFC]}`ASfK\BMpHZxOx@mww~`BmDHJ[OtkFMpHZxAk`J{o_f\MLT@`Iie_rxRDuE|fOsD	=	208	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 24 (12), 2655-2660 (2014)	24813730		6.681936665037237	ec`RDD@LIM@ae`@apHrQQIIQJZIIIQVJDT\RI]YES[TBDTDpUPsPJ@@@	feo@@@LdbbRRbJRTtRROEBe[uVcgUUUUUUUUUT@@	4.0	639	0.94529; 0.87662; 0.88286; 0.94251	4	641; 642; 637; 640	0.37079933	0.22750866	10.18; 0.6081; 4.3125; 6.4416	CC(C(N1Nc2c(c(-c3ccccc3)cs3)c3nc(-c3cccs3)n2)=O)=CC1=O	
egdRLD@LIM@nim`@apHrQQIIQJZIIIQRqRdT\RICYEKGTBDTDpUTLu@h@@ !BGqjlFC]}`ASfK\BMpHZxOx@mww~`BmDHJ[OtkFMpHZxAk`J{o_f\MLT@kaB@ffUKaHSTWrZLP	=	488	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 24 (12), 2655-2660 (2014)	24813730		6.311580177997289	ec`RDD@LIM@ae`@apHrQQIIQJZIIIQVJDT\RI]YES[TBDTDpUPsPJ@@@	feo@@@LdbbRRbJRTtRROEBe[uVcgUUUUUUUUUT@@	4.0	640	0.96092; 0.90577; 0.86993; 0.94251	4	641; 642; 637; 639	0.3466664	0.2988712	4.7756; 4.7266; 6.7308; 6.4416	CC(C(N1Nc2c(c(-c3cc(O)ccc3)cs3)c3nc(-c3cccs3)n2)=O)=CC1=O	
egdRLD@LIM@aec`@apHrQQIIQJZIIIQVJKDT\RI]YES[TBDTDpUPsU@h@@ !BGqjlFC]}`ASfK\BMpHZxOx@Mww~`BmDHJ[OtkFMpHZxAk`J{o_f\MLT@`Iie_rxRDuE|fFn@LP	=	750	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 24 (12), 2655-2660 (2014)	24813730		6.1249387366083	ec`RDD@LIM@ae`@apHrQQIIQJZIIIQVJDT\RI]YES[TBDTDpUPsPJ@@@	feo@@@LdbbRRbJRTtRROEBe[uVcgUUUUUUUUUT@@	4.0	641	0.87344; 0.94529; 0.96092; 0.87471	4	637; 639; 640; 642	0.41634494	0.28790176	8.3927; 10.18; 4.7756; 5.0444	CC(C(N1Nc2c(c(-c(cc3)ccc3O)cs3)c3nc(-c3cccs3)n2)=O)=CC1=O	
eb^ZLL@BECHhQec`Hb@H|BLBbbRRbTtRRRbebbIreC@bfTqUVuu@aEALEUCMUU@h@@ !BNKd_FjpXMww~@ENXmpHw@ak``Bw__z@HJXkQLRl[|w@ak`Fn@kn}~Ys|tqPBBfJxRYW|nDaMQ_ImR{OsD`imR{HJ[e{p	=	175	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 24 (12), 2655-2660 (2014)	24813730		6.756961951313706	ec`RDD@LIM@ae`@apHrQQIIQJZIIIQVJDT\RI]YES[TBDTDpUPsPJ@@@	feo@@@LdbbRRbJRTtRROEBe[uVcgUUUUUUUUUT@@	4.0	642	0.87662; 0.90577; 0.87471	3	639; 640; 641	0.38577396	0.3572929	0.6081; 4.7266; 5.0444	CC(C(N1Nc2c(c(-c3cc(OCCN(C)C)ccc3)cs3)c3nc(-c3cccs3)n2)=O)=CC1=O.Cl	
eb^ZJ@@DLM@n`Dkgd\bbbRTVRVbRbRRfQRrPfegaWTqsUUAA@PDAQUUP@@@ !B_pGygwtHbGvw_W|A_c}~_wuH_[^w@s~oz~_wvwmwvHoW~Og~~o|a|W\H_Xc]BKuorwR@KH_Hb}BKuHOB}bCs`yP	=	450	nM	IC50	0.24	12.81	6.46			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 45 (17), 3772-3793 (2002)	12166950		6.346787486224656	figi@@DXtFhDfYUgU{YWEjwluzMjj```@@B@@@	fa{@@@LdbbbTRQqRTRPiZ][s^uUUUUUUUU@@@	5.0	5	0.93686; 0.92774; 0.93686; 0.93442	4	20; 1; 2; 6	-0.31619436	-0.6907416	2.456; 7.5561; 7.3002; 5.3703	CC(C)Oc(cc1)ccc1NC(N(CC1)CCN1c(c1c2)ncnc1cc(OCCOC)c2OC)=O	
e`\VJ@DHICHla`DMCkhIPyInUunUvVUuW`PJIhY[Yh@JZjh@@BjH@@@ !B@[|woTc}k}H@da}RGuH@da}k}H_S]}MpI~_s\CUwu~os]}MpK~os]}UuH__ym}~Otb}RKw~wzMwt	=	3300	nM	IC50	0.23	12.50	4.36			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 45 (14), 3057-3066 (2002)	12086491		5.481486060122112	figi@@DXtFhDfYUgU{YWEjwluzMjj```@@B@@@	fa{@@@LdbbbTRQqRTRPiZ][s^uUUUUUUUU@@@	5.0	7	0.92048; 0.92863; 0.90682	3	10; 9; 8	-0.4533114	-0.52146244	9.7578; 7.5435; 19.527	COc(cc1c(N(CC2)CCN2C(Nc(cc2)ccc2[N+]([O-])=O)=O)ncnc1c1)c1OC	
e`\ZL@@DLM@a`CklbbbRTVRVbRbbRjRPfegaPrvsUUAA@PE@EU@@@@ !Bmww~os\BROtw_S]}k~ozMpwoS]}M{w~os\BmwwH_S]}@W~ox`Bk|wDa}bOuH_T`BRHIH__z@R@H	=	50	nM	IC50	0.31	16.76	9.15			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 45 (14), 3057-3066 (2002)	12086491		7.30102999566398	figi@@DXtFhDfYUgU{YWEjwluzMjj```@@B@@@	fa{@@@LdbbbTRQqRTRPiZ][s^uUUUUUUUU@@@	5.0	8	0.93418; 0.93139; 0.90682	3	10; 9; 7	-0.4080352	-0.45104876	39.435; 34.37; 19.527	CC(C)c(cc1)ccc1NC(N(CC1)CCN1c(c1c2)ncnc1cc(OC)c2OC)=O	
eghZLH@NEOHfiEm`LQIe][e]ee]UhX\|JZFf`@ijj`@@Jh`@@@ !BR@K~@Da}RHIH`dc}R@IH_T`Bk}HS]}k~os^}k~woRa}@[~ox`BRGvHTa}R@IH`da}hAH@`	=	11400	nM	IC50	0.23	10.47	6.19			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 45 (14), 3057-3066 (2002)	12086491		4.943095148663526	figi@@DXtFhDfYUgU{YWEjwluzMjj```@@B@@@	fa{@@@LdbbbTRQqRTRPiZ][s^uUUUUUUUU@@@	5.0	9	0.92863; 0.93139; 0.9396	3	7; 8; 10	-0.3332306	-0.4433844	7.5435; 34.37; 3.9334	COc(cc1c(N(CC2)CCN2C(Nc(cc2)ccc2Br)=O)ncnc1c1)c1OC	
eodVL@@DLM@fn`MclbbbRTVRVbRbRQRRDtl|JzfVZjhHHB@pBj`@@@ !BMww~os\BROtw_S]}k~os_|k|woS^}M{w~oym{th_[]}@[~ox`BMwuH_Xc}RGuH@dbBRGw~`D`B	=	19700	nM	IC50	0.21	11.25	4.54			Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 45 (14), 3057-3066 (2002)	12086491		4.705533773838407	figi@@DXtFhDfYUgU{YWEjwluzMjj```@@B@@@	fa{@@@LdbbbTRQqRTRPiZ][s^uUUUUUUUU@@@	5.0	10	0.89428; 0.8969; 0.92048; 0.93418; 0.9396	5	3; 4; 7; 8; 9	-0.37665662	-0.5121869	3.3152; 9.83; 9.7578; 39.435; 3.9334	COc(cc1c(N(CC2)CCN2C(Nc(cc2)ccc2C#N)=O)ncnc1c1)c1OC	
